id,Chlorophyll,Temp
1,1.06349707,26.7250004
2,2.93894339,27.0375004
3,1.19208646,27.3500004
4,-32767,28.2875004
5,1.82713246,-9999
6,2.70455241,27.1625004
7,2.20700979,-9999
8,1.34650397,26.1625004
9,-32767,26.1000004
10,1.44309926,25.7250004
11,1.28110421,26.2250004
12,0.565490544,-9999
13,1.00993907,26.7875004
14,-32767,-9999
15,1.52859962,26.7875004
16,0.886889338,26.3500004
17,1.36552215,27.1625004
18,1.25586236,27.1625004
19,1.19407678,27.8500004
20,0.196624726,-9999
21,1.48034906,-9999
22,1.08108437,-9999
23,2.89711833,25.9750004
24,-32767,-9999
25,1.26696324,26.2875004
26,0.862663567,-9999
27,1.25778866,26.6000004
28,0.206481323,-9999
29,-32767,-9999
30,-32767,26.1625004
31,-32767,24.4750004
32,-32767,26.6625004
33,1.74571407,26.4750004
34,0.902277768,25.2875004
35,-32767,-9999
36,-32767,24.6625004
37,-32767,-9999
38,-32767,-9999
39,-32767,-9999
40,0.263114244,-9999
41,0.241603792,27.4125004
42,-32767,-9999
43,1.57249689,26.4750004
44,-32767,-9999
45,-32767,25.9125004
46,1.22973049,24.6000004
47,0.853294611,24.3500004
48,1.39484322,25.6000004
49,1.19053423,26.1000004
50,1.67318022,25.7250004
51,2.00551653,-9999
52,1.78331387,22.3500004
53,1.6076386,-9999
54,1.34544277,24.0375004
55,1.18092167,26.2250004
56,3.35773969,26.6000004
57,3.47310209,25.1625004
58,2.20623708,-9999
59,2.50591612,24.6625004
60,2.22041988,-9999
61,1.45355618,24.4125004
62,1.36510599,24.9125004
63,1.86637402,25.4750004
64,1.43306661,25.3500004
65,1.47911108,24.2250004
66,1.35629237,23.9125004
67,0.973622739,-9999
68,1.44473159,24.3500004
69,0.905351937,-9999
70,1.2001518,24.6625004
71,1.29492724,23.4125004
72,1.04221797,24.6625004
73,-32767,24.2875004
74,1.68456042,-9999
75,1.43325114,23.2875004
76,-32767,-9999
77,-32767,23.4750004
78,0.282864064,25.2875004
79,-32767,24.7250004
80,-32767,25.7875004
81,0.248331591,26.2875004
82,0.454186469,24.4125004
83,0.573273897,-9999
84,1.58186114,24.4750004
85,-32767,-9999
86,-32767,24.7250004
87,-32767,24.6000004
88,0.590643227,24.2250004
89,-32767,24.7250004
90,1.34853947,-9999
91,-32767,23.9125004
92,1.53154993,-9999
93,1.53339958,24.2250004
94,1.10008776,25.2875004
95,1.01026905,24.2875004
96,1.54507017,25.1625004
97,-32767,24.1625004
98,2.04344344,24.1000004
99,1.50133824,-9999
100,1.50836289,-9999
101,1.37877214,-9999
102,1.85928631,23.9125004
103,1.36580336,23.6625004
104,0.892063081,23.9125004
105,1.49389744,23.2875004
106,1.14961076,-9999
107,1.10236764,23.6625004
108,1.75236464,-9999
109,1.27022684,24.2250004
110,1.23245037,25.6000004
111,1.00941992,24.6625004
112,0.855071247,25.3500004
113,0.748262048,24.6000004
114,0.783497989,24.8500004
115,1.20978117,-9999
116,0.32100603,24.7875004
